ภาค,จังหวัด,ประเภทคดีอาชญากรรม,ประเภทความผิด,2550,2551,2552,2553,2554,2555,2556,2557,2558,2559,,
ภาคกลาง,ลพบุรี,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,ลพบุรี,รับแจ้ง,กรรโชกทรัพย์,2,2,4,2,3,5,2,0,0,1,,
ภาคกลาง,ลพบุรี,รับแจ้ง,ชิงทรัพย์ (รวม),20,9,17,7,11,8,7,5,7,5,,
ภาคกลาง,ลพบุรี,รับแจ้ง,บาดเจ็บ,6,3,6,5,3,3,3,4,5,2,,
ภาคกลาง,ลพบุรี,รับแจ้ง,ไม่บาดเจ็บ,14,6,11,2,8,5,4,1,2,3,,
ภาคกลาง,ลพบุรี,รับแจ้ง,ปล้นทรัพย์,4,5,7,2,1,0,1,1,2,0,,
ภาคกลาง,ลพบุรี,รับแจ้ง,รับของโจร,6,3,4,1,6,0,3,14,2,4,,
ภาคกลาง,ลพบุรี,รับแจ้ง,ทำให้เสียทรัพย์,42,29,30,32,30,38,20,19,29,38,,
ภาคกลาง,ลพบุรี,จับกุม,รวม,281,346,321,309,314,294,289,215,181,225,,
ภาคกลาง,ลพบุรี,จับกุม,ลักทรัพย์,224,296,256,271,265,252,253,170,156,190,,
ภาคกลาง,ลพบุรี,จับกุม,วิ่งราวทรัพย์,11,15,25,12,23,19,16,14,7,9,,
ภาคกลาง,ลพบุรี,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,ลพบุรี,จับกุม,กรรโชกทรัพย์,1,2,2,2,2,3,2,0,0,1,,
ภาคกลาง,ลพบุรี,จับกุม,ชิงทรัพย์ (รวม),16,7,10,5,9,6,4,4,5,5,,
ภาคกลาง,ลพบุรี,จับกุม,บาดเจ็บ,4,2,3,3,2,2,2,3,4,2,,
ภาคกลาง,ลพบุรี,จับกุม,ไม่บาดเจ็บ,12,5,7,2,7,4,2,1,1,3,,
ภาคกลาง,ลพบุรี,จับกุม,ปล้นทรัพย์,3,4,7,2,0,0,1,1,2,0,,
ภาคกลาง,ลพบุรี,จับกุม,รับของโจร,6,3,3,1,4,0,3,13,2,1,,
ภาคกลาง,ลพบุรี,จับกุม,ทำให้เสียทรัพย์,20,19,18,16,11,14,10,13,9,19,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,รวม,256,213,167,186,221,204,283,216,237,194,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,ลักทรัพย์,176,168,135,152,183,175,236,189,213,160,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,วิ่งราวทรัพย์,20,8,8,7,10,5,18,12,4,10,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,กรรโชกทรัพย์,0,0,0,1,0,0,0,0,0,1,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,ชิงทรัพย์ (รวม),4,1,8,10,4,4,3,1,2,1,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,บาดเจ็บ,3,1,3,3,1,2,2,0,1,1,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,ไม่บาดเจ็บ,1,0,5,7,3,2,1,1,1,0,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,ปล้นทรัพย์,8,9,0,4,1,2,0,0,0,1,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,รับของโจร,2,0,0,0,0,0,1,1,0,0,,
ภาคกลาง,สิงห์บุรี,รับแจ้ง,ทำให้เสียทรัพย์,46,27,16,12,23,18,25,13,18,21,,
ภาคกลาง,สิงห์บุรี,จับกุม,รวม,118,102,76,99,90,62,59,58,49,70,,
ภาคกลาง,สิงห์บุรี,จับกุม,ลักทรัพย์,80,77,56,79,66,51,48,52,42,59,,
ภาคกลาง,สิงห์บุรี,จับกุม,วิ่งราวทรัพย์,11,4,6,4,4,1,2,4,1,4,,
ภาคกลาง,สิงห์บุรี,จับกุม,รีดเอาทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,สิงห์บุรี,จับกุม,กรรโชกทรัพย์,0,0,0,0,0,0,0,0,0,0,,
ภาคกลาง,สิงห์บุรี,จับกุม,ชิงทรัพย์ (รวม),2,1,4,9,3,1,1,0,0,1,,
ภาคกลาง,สิงห์บุรี,จับกุม,บาดเจ็บ,2,1,2,2,1,0,0,0,0,1,,
ภาคกลาง,สิงห์บุรี,จับกุม,ไม่บาดเจ็บ,0,0,2,7,2,1,1,0,0,0,,
ภาคกลาง,สิงห์บุรี,จับกุม,ปล้นทรัพย์,4,6,0,1,1,1,0,0,0,0,,
ภาคกลาง,สิงห์บุรี,จับกุม,รับของโจร,2,0,0,0,0,0,1,0,0,0,,
