ภาค,จังหวัด,ระดับการศึกษา,สายการศึกษา,รวม
ภาคกลาง,จันทบุรี,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,0
ภาคกลาง,จันทบุรี,ระดับอุดมศึกษา,สายวิชาการ,46579.8425
ภาคกลาง,จันทบุรี,ระดับอุดมศึกษา,สายวิชาชีพ,17958.675
ภาคกลาง,จันทบุรี,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,8152.8375
ภาคกลาง,จันทบุรี,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,จันทบุรี,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,1268.4
ภาคกลาง,ตราด,รวม,สายวิชาการศึกษาระดับมหาวิทยาลัย,242826.5
ภาคกลาง,ตราด,ไม่ได้เรียน,สายวิชาการศึกษาระดับมหาวิทยาลัย,20452.945
ภาคกลาง,ตราด,ก่อนประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,52091.195
ภาคกลาง,ตราด,ระดับประถมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,52607.3425
ภาคกลาง,ตราด,ระดับมัธยมศึกษาตอนต้น,สายวิชาการศึกษาระดับมหาวิทยาลัย,41357.015
ภาคกลาง,ตราด,ระดับมัธยมศึกษาตอนปลาย,สายสามัญ,25420.6275
ภาคกลาง,ตราด,ระดับมัธยมศึกษาตอนปลาย,สายอาชีวศึกษา,9515.34
ภาคกลาง,ตราด,ระดับมัธยมศึกษาตอนปลาย,สายวิชาการศึกษา,0
ภาคกลาง,ตราด,ระดับอุดมศึกษา,สายวิชาการ,25897.3925
ภาคกลาง,ตราด,ระดับอุดมศึกษา,สายวิชาชีพ,10673.84
ภาคกลาง,ตราด,ระดับอุดมศึกษา,สายวิชาการศึกษาระดับมหาวิทยาลัย,4721.62
ภาคกลาง,ตราด,การศึกษาอื่น ๆ,สายวิชาการศึกษาระดับมหาวิทยาลัย,0
ภาคกลาง,ตราด,ไม่ทราบ,สายวิชาการศึกษาระดับมหาวิทยาลัย,89.18
