,คีตามีน,0,0,0,0,0,0,1,0,3,1,3,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
อุตรดิตถ์,รวม,436,360,385,276,191,972,"1,179","2,351","2,030",510,"1,509",
,เฮโรอีน,0,0,0,0,0,0,0,0,0,0,0,
,เอ็กซ์ตาซี,0,0,0,0,0,0,1,0,0,0,4,
,กัญชาแห้ง,3,8,1,4,5,31,32,61,40,17,66,
,พืชกระท่อม,1,1,0,0,1,3,5,9,0,2,0,
,เมทแอมเฟตามีน,417,338,375,270,182,909,"1,087","2,214","1,893",442,"1,331",
,ไอซ์,15,13,9,2,3,28,53,66,96,49,107,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,1,1,1,1,0,1,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
แพร่,รวม,961,"1,123","1,027","1,275",849,"1,486","1,190",946,914,"1,210","1,246",
,เฮโรอีน,3,1,0,0,0,1,1,0,0,1,2,
,เอ็กซ์ตาซี,0,0,0,0,0,1,0,0,0,0,0,
,กัญชาแห้ง,14,13,9,42,16,33,22,28,22,58,70,
,พืชกระท่อม,1,2,3,2,1,11,4,7,12,4,4,
,เมทแอมเฟตามีน,940,"1,096","1,010","1,208",822,"1,426","1,151",884,846,"1,133","1,156",
,ไอซ์,3,11,5,23,10,14,12,27,34,14,13,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,0,0,0,0,1,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
น่าน,รวม,987,861,891,"1,043",965,"1,019","1,109","1,386","1,425","1,549","1,803",
,เฮโรอีน,0,0,0,0,0,0,0,1,0,0,1,
,เอ็กซ์ตาซี,0,0,0,0,0,0,0,0,0,0,0,
,กัญชาแห้ง,10,8,8,24,32,14,16,39,38,51,83,
,พืชกระท่อม,0,1,1,1,1,3,1,2,5,7,9,
,เมทแอมเฟตามีน,974,850,882,"1,018",932,998,941,"1,313","1,369","1,476","1,687",
,ไอซ์,3,2,0,0,0,4,151,31,13,15,23,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,0,0,0,0,0,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
พะเยา,รวม,"1,065",983,994,985,499,730,459,681,"1,043","1,009","1,035",
,เฮโรอีน,0,1,1,0,0,1,0,0,2,1,0,
,เอ็กซ์ตาซี,0,0,0,0,0,0,0,0,0,0,0,
,กัญชาแห้ง,8,10,7,10,8,6,2,17,14,25,24,
,พืชกระท่อม,6,3,1,3,2,3,1,2,3,2,0,
,เมทแอมเฟตามีน,"1,042",958,979,969,483,695,437,628,965,948,989,
,ไอซ์,9,11,6,3,6,25,19,33,59,33,22,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,0,1,0,0,0,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
เชียงราย,รวม,"2,331","1,560","2,144","2,498","1,101","1,322",509,"2,242","2,285","2,569","2,764",
,เฮโรอีน,254,170,219,247,108,121,18,231,214,228,169,
,เอ็กซ์ตาซี,1,0,2,0,1,1,0,0,2,2,0,
,กัญชาแห้ง,16,12,17,33,19,21,6,58,45,87,92,
,พืชกระท่อม,0,2,4,7,4,11,1,18,13,10,1,
,เมทแอมเฟตามีน,"2,017","1,319","1,840","2,175",939,"1,101",440,"1,782","1,879","2,091","2,392",
,ไอซ์,43,57,61,35,30,67,39,145,120,141,97,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,1,0,0,
,คีตามีน,0,0,1,1,0,0,5,8,11,10,13,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
แม่ฮ่องสอน,รวม,47,101,112,70,46,84,49,189,121,87,156,
,เฮโรอีน,0,2,3,0,2,5,1,1,8,3,2,
,เอ็กซ์ตาซี,0,0,0,0,0,0,0,0,0,0,0,
,กัญชาแห้ง,2,4,8,7,3,3,3,14,7,10,24,
,พืชกระท่อม,0,0,0,0,0,0,0,2,1,0,1,
,เมทแอมเฟตามีน,45,95,101,60,41,73,42,169,103,74,127,
,ไอซ์,0,0,0,3,0,3,3,3,2,0,2,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,0,0,0,0,0,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
นครสวรรค์,รวม,"1,590","1,039","2,017","2,264",605,"2,070","1,659","2,650","2,507","1,918","1,782",
,เฮโรอีน,1,0,1,0,0,0,0,0,1,1,0,
,เอ็กซ์ตาซี,0,0,0,0,0,1,2,2,3,1,1,
,กัญชาแห้ง,48,45,118,167,60,134,67,44,39,52,70,
,พืชกระท่อม,3,3,0,4,1,14,15,6,12,2,3,
,เมทแอมเฟตามีน,"1,383",877,"1,770","2,007",513,"1,785","1,454","2,345","2,168","1,477","1,437",
,ไอซ์,155,114,128,86,31,136,120,248,278,382,269,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,1,5,6,3,2,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
อุทัยธานี,รวม,592,621,629,773,326,537,648,"1,340","1,382",360,404,
,เฮโรอีน,0,0,0,0,0,0,0,0,0,0,0,
,เอ็กซ์ตาซี,0,0,0,0,0,0,1,0,0,1,0,
,กัญชาแห้ง,18,23,31,78,23,29,30,30,38,17,11,
,พืชกระท่อม,2,1,0,11,14,8,4,3,4,0,2,
,เมทแอมเฟตามีน,558,571,588,667,283,488,580,"1,232","1,274",284,330,
,ไอซ์,14,26,10,17,6,12,33,74,65,58,60,
,โคคาอีน (โคเคน),0,0,0,0,0,0,0,0,0,0,0,
,คีตามีน,0,0,0,0,0,0,0,1,1,0,1,
,โคเดอีน,0,0,0,0,0,0,0,0,0,0,0,
กำแพงเพชร,รวม,"1,446","1,777","1,372",631,324,"1,216","1,697","3,320","2,798",410,"1,173",
,เฮโรอีน,0,0,0,0,0,0,0,0,0,0,0,
,เอ็กซ์ตาซี,0,0,0,0,0,0,0,0,0,0,0,
,กัญชาแห้ง,24,38,25,23,6,39,42,81,70,12,47,
,พืชกระท่อม,2,8,8,4,1,14,18,25,16,3,6,
